specification,specification_label,instrument,no_border_only,controls,outcome,endogenous,observations,regions,target_clusters,minimum_year,maximum_year,first_stage_estimate,first_stage_standard_error,first_stage_t,first_stage_f,first_stage_p,first_stage_wild_p,reduced_form_estimate,reduced_form_standard_error,reduced_form_t,reduced_form_p,reduced_form_wild_p,iv_estimate,iv_standard_error,iv_t,iv_p,ar_interval_count,ar_grid_lower,ar_grid_upper,ar_grid_boundary_accepted
primary_levels,Real AEWR,z_dissimilarity_real,FALSE,,h2a_cert_share_farm_workers_2011,aewr_ppi,845,17,79,2012,2022,0.19251688786423274,0.05862964825938909,3.283609804590677,10.782093348804024,0.004678042323984673,0.002,-0.016649328544551683,0.013047878150859922,-1.27601808907561,0.22016233293422993,0.276,-0.08648243138177629,0.06860970676116092,-1.2604984843155298,0.22556274032959608,1,-2.1770465166825006,2.004081653918948,FALSE
levels_controls,Real AEWR + lagged controls,z_dissimilarity_real,FALSE,"ln_pop_census_l1,farm_emp_share_l1,emp_pop_ratio_l1,wage_p25_l1",h2a_cert_share_farm_workers_2011,aewr_ppi,845,17,79,2012,2022,0.1478899435408088,0.04195853868908703,3.524668593362462,12.423288693035717,0.0028130852115446562,0.001,-0.015197531705951874,0.012047946662366926,-1.261420898668403,0.2252388926214119,0.261,-0.10276244173261377,0.07907738485344568,-1.299517452721327,0.21217931777841698,1,-2.348037288115198,2.1425124046499704,FALSE
levels_no_border,"Real AEWR, no border CZs",z_dissimilarity_real,TRUE,,h2a_cert_share_farm_workers_2011,aewr_ppi,231,11,21,2012,2022,0.3292467694468,0.10494514312590962,3.1373226015022047,9.842793105896561,0.01055814407158587,0.001,-0.06969350717955025,0.041042192221343435,-1.698094166210427,0.12033696237706708,0.069,-0.2116755991156697,0.15581989631369209,-1.358463226605738,0.20417040363038297,1,-2.95968843998863,2.5363372417572907,FALSE
census_frame_benchmark,"Real AEWR, Census-frame benchmark",z_dissimilarity_census_frame_real,FALSE,,h2a_cert_share_farm_workers_2011,aewr_ppi,845,17,79,2012,2022,0.24025334080317529,0.06708155534386812,3.5815111854757657,12.827222371688025,0.002494780505739705,0.002,-0.01624990048936918,0.012576279166070714,-1.2921071705540261,0.21467159592585883,0.284,-0.06763652249348615,0.056683143945881434,-1.1932387264556552,0.2501699617280735,1,-2.1582006077942104,2.0229275628072383,FALSE
